20:51:41 31/03/2020;0.2279;;;;;;;
02:27:23 01/04/2020;0.2271;;;;;;;
09:26:25 01/04/2020;0.2279;0.22800000000000017;1.0;0.3949683531626298;0.22800000000000017;4.890833333333333;0.22850000000000018;10.616111111111111
14:19:52 01/04/2020;0.229;0.22900000000000018;1.0;0.39370039370059035;0.22900000000000018;5.7252777777777775;0.23000000000000018;12.0
20:03:23 01/04/2020;0.2302;0.23100000000000018;1.0;0.3911521443121587;0.23100000000000018;12.0;0.23100000000000018;12.0
03:27:54 02/04/2020;0.2305;0.23100000000000018;1.0;0.3911521443121587;0.23100000000000018;12.0;0.23100000000000018;12.0
10:52:23 02/04/2020;0.2293;0.23100000000000018;1.0;0.3911521443121587;0.23100000000000018;12.0;0.23100000000000018;12.0
18:08:23 02/04/2020;0.2301;0.23100000000000018;1.0;0.3911521443121587;0.23100000000000018;12.0;0.23100000000000018;12.0
22:53:27 02/04/2020;0.2308;0.23100000000000018;1.0;0.3911521443121587;0.23100000000000018;7.406944444444444;0.23100000000000018;7.406944444444444
06:17:52 03/04/2020;0.2318;0.23200000000000018;1.0;0.3898717737923583;0.23200000000000018;12.0;0.23200000000000018;12.0
10:54:22 03/04/2020;0.23;0.23200000000000018;1.0;0.3898717737923583;0.23200000000000018;12.0;0.23200000000000018;12.0
16:04:25 03/04/2020;0.2303;0.23200000000000018;1.0;0.3898717737923583;0.23200000000000018;12.0;0.23200000000000018;12.0
21:23:24 03/04/2020;0.2293;0.23100000000000018;1.0;0.3911521443121587;0.23100000000000018;12.0;0.23100000000000018;12.0
03:15:23 04/04/2020;0.2286;0.23100000000000018;1.0;0.3911521443121587;0.23100000000000018;12.0;0.23100000000000018;12.0
10:31:22 04/04/2020;0.2261;0.22900000000000018;1.0;0.39370039370059035;0.22900000000000018;12.0;0.22900000000000018;12.0
15:32:54 04/04/2020;0.2253;0.22700000000000017;1.0;0.3962322551231788;0.22700000000000017;12.0;0.22700000000000017;12.0
21:00:23 04/04/2020;0.2243;0.22700000000000017;1.0;0.3962322551231788;0.22700000000000017;12.0;0.22700000000000017;12.0
03:17:22 05/04/2020;0.2234;0.22600000000000017;1.0;0.3974921382870356;0.22600000000000017;12.0;0.22600000000000017;12.0
08:27:52 05/04/2020;0.2218;0.22500000000000017;1.0;0.3987480407475375;0.22500000000000017;12.0;0.22500000000000017;12.0
13:12:53 05/04/2020;0.2196;0.22400000000000017;1.0;0.3999999999999998;0.22400000000000017;12.0;0.22300000000000017;12.0
17:57:55 05/04/2020;0.2186;0.22200000000000017;1.0;0.4024922359499619;0.22200000000000017;12.0;0.22100000000000017;12.0
23:41:27 05/04/2020;0.2171;0.22000000000000017;1.0;0.40496913462633155;0.22000000000000017;12.0;0.22000000000000017;12.0
06:07:23 06/04/2020;0.2162;0.21800000000000017;1.0;0.40743097574926707;0.21800000000000017;12.0;0.21800000000000017;12.0
11:26:07 06/04/2020;0.2148;0.21800000000000017;1.0;0.40743097574926707;0.21800000000000017;12.0;0.21800000000000017;12.0
00:59:08 07/04/2020;0.2169;0.21700000000000016;1.0;0.4086563348340508;0.21700000000000016;6.433611111111111;0.21700000000000016;6.433611111111111
07:25:09 07/04/2020;0.2177;0.21800000000000017;1.0;0.40743097574926707;0.21800000000000017;12.0;0.21800000000000017;12.0
20:18:44 07/04/2020;0.219;0.21900000000000017;1.0;0.4062019202317978;0.21900000000000017;7.4075;0.21900000000000017;7.4075
03:43:11 08/04/2020;0.2194;0.22000000000000017;1.0;0.40496913462633155;0.22000000000000017;12.0;0.22000000000000017;12.0
10:26:12 08/04/2020;0.22;0.22000000000000017;1.0;0.40496913462633155;0.22000000000000017;12.0;0.22000000000000017;12.0
16:09:38 08/04/2020;0.2194;0.22000000000000017;1.0;0.40496913462633155;0.22000000000000017;12.0;0.22000000000000017;12.0
22:35:48 08/04/2020;0.2188;0.22000000000000017;1.0;0.40496913462633155;0.22000000000000017;12.0;0.22000000000000017;12.0
05:18:19 09/04/2020;0.2171;0.21900000000000017;1.0;0.4062019202317978;0.21900000000000017;12.0;0.21900000000000017;12.0
10:11:54 09/04/2020;0.2158;0.21900000000000017;1.0;0.4062019202317978;0.21900000000000017;12.0;0.21900000000000017;12.0
17:19:50 09/04/2020;0.2129;0.21600000000000016;1.0;0.40987803063838374;0.21600000000000016;12.0;0.21600000000000016;12.0
00:35:46 10/04/2020;0.2093;0.21300000000000016;1.0;0.41352146256270644;0.21300000000000016;12.0;0.21150000000000016;12.0
05:29:53 10/04/2020;0.2078;0.21000000000000016;1.0;0.417133072292284;0.21000000000000016;12.0;0.21000000000000016;12.0
11:05:18 10/04/2020;0.208;0.21000000000000016;1.0;0.417133072292284;0.21000000000000016;12.0;0.21000000000000016;12.0
17:22:48 10/04/2020;0.206;0.20800000000000016;1.0;0.41952353926806046;0.20800000000000016;12.0;0.20800000000000016;12.0
00:39:18 11/04/2020;0.2037;0.20600000000000016;1.0;0.42190046219457955;0.20600000000000016;12.0;0.20600000000000016;12.0
07:38:17 11/04/2020;0.2041;0.20500000000000015;1.0;0.42308391602612344;0.20500000000000015;12.0;0.20500000000000015;12.0
14:37:54 11/04/2020;0.2042;0.20500000000000015;1.0;0.42308391602612344;0.20500000000000015;12.0;0.20500000000000015;12.0
22:10:52 11/04/2020;0.2037;0.20500000000000015;1.0;0.42308391602612344;0.20500000000000015;12.0;0.20500000000000015;12.0
04:11:50 12/04/2020;0.2033;0.20400000000000015;1.0;0.42426406871192834;0.20400000000000015;12.0;0.20400000000000015;12.0
